revision,method,frequency_nyquist,radial_power_db,radial_anisotropy_db
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.8984375,2.2201817937688357,1.6612187832528642
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.9140625,2.903103301111845,2.1596118572975653
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.9296875,4.2676961364530115,2.746055753357229
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.9453125,4.682934337798552,2.3362512537689266
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.9609375,5.045354145775943,2.2535203442663123
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.9765625,5.725771374659826,2.5886051541461526
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,fs,0.9921875,5.860878353098187,1.9394029512946551
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.0078125,-19.80638668798834,-3.9688969172059934
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.0234375,-20.47854067865671,-2.862465129332774
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.0390625,-21.499087642513317,-2.0822854277756573
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.0546875,-22.229076879730535,-1.3200717787269098
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.0703125,-23.156219090433506,-1.440326622464103
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.0859375,-24.009313839010275,-3.456146776705183
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.1015625,-21.146880704973867,0.2720873901646628
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.1171875,-22.965428211321388,-1.5978156601177351
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.1328125,-21.401333027162014,-2.1902948410575727
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.1484375,-20.18573490871391,-3.2186340346478
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.1640625,-21.60124821634044,-2.3346481306430436
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.1796875,-20.461970228531072,-3.2324339561551385
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.1953125,-20.35439838029721,-3.109141543349312
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.2109375,-19.385724501027756,-3.936154166993981
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.2265625,-18.981040083313275,-1.197141122692429
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.2421875,-19.28032248868677,-3.2360085622426022
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.2578125,-17.864745335554566,-3.323819356773332
e8c32d3693bf5bed3891b7b6dfb305a2a5319eda,atkinson,0.2734375,-17.499960028879904,-1.673817251595995
