revision,platform,fixture_id,fixture_label,fixture_class,input,colors,colorspace,label,source_points,criterion,MS-SSIM_regret_limit,Delta E00_regret_limit,pass_rate_target,observed_binbits,observed_effective_points,observed_points_per_color,stable_binbits,stable_effective_points,stable_points_per_color,stable_censored
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,64,gamma,gamma sRGB,434172,relaxed,0.005,0.25,0.8,4,512,8.0,4,512,8.0,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,64,linear,linear RGB,434172,strict,0.001,0.05,0.8,5,1222,19.09375,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,64,linear,linear RGB,434172,balanced,0.002,0.15,0.8,5,1222,19.09375,8,7244,113.1875,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,64,linear,linear RGB,434172,relaxed,0.005,0.25,0.8,4,434,6.78125,4,434,6.78125,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,64,oklab,OKLab,434172,strict,0.001,0.05,0.8,5,464,7.25,8,6873,107.390625,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,64,oklab,OKLab,434172,balanced,0.002,0.15,0.8,4,125,1.953125,4,125,1.953125,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,64,oklab,OKLab,434172,relaxed,0.005,0.25,0.8,4,125,1.953125,4,125,1.953125,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,128,cielab,CIELAB,434172,strict,0.001,0.05,0.8,5,492,3.84375,5,492,3.84375,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,128,cielab,CIELAB,434172,balanced,0.002,0.15,0.8,5,492,3.84375,5,492,3.84375,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,128,cielab,CIELAB,434172,relaxed,0.005,0.25,0.8,5,492,3.84375,5,492,3.84375,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,128,din99d,DIN99d,434172,strict,0.001,0.05,0.8,5,750,5.859375,5,750,5.859375,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,128,din99d,DIN99d,434172,balanced,0.002,0.15,0.8,4,196,1.53125,4,196,1.53125,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,128,din99d,DIN99d,434172,relaxed,0.005,0.25,0.8,4,196,1.53125,4,196,1.53125,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,128,gamma,gamma sRGB,434172,strict,0.001,0.05,0.8,5,1614,12.609375,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,128,gamma,gamma sRGB,434172,balanced,0.002,0.15,0.8,4,512,4.0,4,512,4.0,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,128,gamma,gamma sRGB,434172,relaxed,0.005,0.25,0.8,4,512,4.0,4,512,4.0,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,128,linear,linear RGB,434172,strict,0.001,0.05,0.8,,,,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,128,linear,linear RGB,434172,balanced,0.002,0.15,0.8,5,1222,9.546875,5,1222,9.546875,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,128,linear,linear RGB,434172,relaxed,0.005,0.25,0.8,4,434,3.390625,4,434,3.390625,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,128,oklab,OKLab,434172,strict,0.001,0.05,0.8,5,464,3.625,5,464,3.625,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,128,oklab,OKLab,434172,balanced,0.002,0.15,0.8,4,125,0.9765625,4,125,0.9765625,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,128,oklab,OKLab,434172,relaxed,0.005,0.25,0.8,4,125,0.9765625,4,125,0.9765625,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,256,cielab,CIELAB,434172,strict,0.001,0.05,0.8,6,1489,5.81640625,6,1489,5.81640625,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,256,cielab,CIELAB,434172,balanced,0.002,0.15,0.8,5,492,1.921875,5,492,1.921875,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,256,cielab,CIELAB,434172,relaxed,0.005,0.25,0.8,5,492,1.921875,5,492,1.921875,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,256,din99d,DIN99d,434172,strict,0.001,0.05,0.8,5,750,2.9296875,5,750,2.9296875,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,256,din99d,DIN99d,434172,balanced,0.002,0.15,0.8,5,750,2.9296875,5,750,2.9296875,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,256,din99d,DIN99d,434172,relaxed,0.005,0.25,0.8,4,196,0.765625,4,196,0.765625,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,256,gamma,gamma sRGB,434172,strict,0.001,0.05,0.8,5,1614,6.3046875,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,256,gamma,gamma sRGB,434172,balanced,0.002,0.15,0.8,4,512,2.0,4,512,2.0,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,256,gamma,gamma sRGB,434172,relaxed,0.005,0.25,0.8,4,512,2.0,4,512,2.0,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,256,linear,linear RGB,434172,strict,0.001,0.05,0.8,,,,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,256,linear,linear RGB,434172,balanced,0.002,0.15,0.8,5,1222,4.7734375,5,1222,4.7734375,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,256,linear,linear RGB,434172,relaxed,0.005,0.25,0.8,5,1222,4.7734375,5,1222,4.7734375,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,256,oklab,OKLab,434172,strict,0.001,0.05,0.8,5,464,1.8125,5,464,1.8125,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,256,oklab,OKLab,434172,balanced,0.002,0.15,0.8,4,125,0.48828125,4,125,0.48828125,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,flat-artwork,flat artwork,flat-artwork,images/vimperator3.png,256,oklab,OKLab,434172,relaxed,0.005,0.25,0.8,4,125,0.48828125,4,125,0.48828125,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,natural-snake,natural photograph,natural,images/snake.png,64,cielab,CIELAB,270000,strict,0.001,0.05,0.8,,,,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,natural-snake,natural photograph,natural,images/snake.png,64,cielab,CIELAB,270000,balanced,0.002,0.15,0.8,,,,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,natural-snake,natural photograph,natural,images/snake.png,64,cielab,CIELAB,270000,relaxed,0.005,0.25,0.8,8,37601,587.515625,8,37601,587.515625,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,natural-snake,natural photograph,natural,images/snake.png,64,din99d,DIN99d,270000,strict,0.001,0.05,0.8,,,,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,natural-snake,natural photograph,natural,images/snake.png,64,din99d,DIN99d,270000,balanced,0.002,0.15,0.8,,,,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,natural-snake,natural photograph,natural,images/snake.png,64,din99d,DIN99d,270000,relaxed,0.005,0.25,0.8,8,41675,651.171875,8,41675,651.171875,no
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,natural-snake,natural photograph,natural,images/snake.png,64,gamma,gamma sRGB,270000,strict,0.001,0.05,0.8,,,,,,,yes
c26da16e79d75081c0f76a461b16aaed7814f8f5,macOS-26.5.1-arm64-arm-64bit,natural-snake,natural photograph,natural,images/snake.png,64,gamma,gamma sRGB,270000,balanced,0.002,0.15,0.8,,,,,,,yes
