name,colors,threads,normal_bytes,or_bytes,size_ratio,normal_ms,or_ms,cli_speedup,indexed_speedup,changed_pixels,alpha_changed_pixels,normal_msssim,or_msssim,normal_deltae,or_deltae
picsum-29-p256-t1,256,1,1196809,616662,0.5152551493178945,116.01683300068544,59.30908300069859,1.9561393825515545,23.20713141025641,0,0,0.997472,0.997472,3.373801,3.373801
picsum-30-p256-t1,256,1,547438,584344,1.0674158534847782,71.7459580009745,62.54633400021703,1.147084943471276,4.5204236006051435,0,0,0.989081,0.989081,2.803079,2.803079
picsum-31-p256-t1,256,1,156367,148234,0.9479877467752147,21.531333000893937,19.326707999425707,1.1140714187606984,2.7756410256410255,0,0,0.995015,0.995015,0.223294,0.223294
picsum-32-p256-t1,256,1,1075549,612073,0.5690796049273441,75.09024999853864,43.067833001259714,1.7435344377866024,12.588128186453021,0,0,0.998798,0.998798,2.130622,2.130622
picsum-33-p256-t1,256,1,602695,521754,0.8657015571723674,71.46579199979897,54.793124998468556,1.304283922513936,6.896332335329341,0,0,0.980601,0.980601,2.553306,2.553306
picsum-34-p256-t1,256,1,1019662,621881,0.6098893554923102,126.9789159996435,92.38929200000712,1.3743899671796784,13.730577879831612,0,0,0.98819,0.98819,3.536704,3.536704
picsum-35-p256-t1,256,1,473712,550178,1.161418752322086,90.8264589997998,84.46012499916833,1.07537680059903,3.729206963249516,0,0,0.985653,0.985653,3.561561,3.561561
picsum-36-p256-t1,256,1,592320,469978,0.7934528633171258,66.2396660009108,49.45225000119535,1.3394671829756921,7.761544920235097,0,0,0.99735,0.99735,2.375937,2.375937
picsum-37-p256-t1,256,1,649631,474722,0.7307563832391003,70.2829580004618,52.758333999008755,1.3321678808466981,8.402491408934706,0,0,0.995721,0.995721,2.893369,2.893369
picsum-38-p256-t1,256,1,516214,582838,1.12906275304428,52.9499999993277,47.54529199999524,1.1136749354559228,3.0841459010473096,0,0,0.993118,0.993118,2.616666,2.616666
picsum-39-p256-t1,256,1,320011,411495,1.2858776729549921,46.969749999334454,42.88050000104704,1.09536385998735,2.6665204036858268,0,0,0.994271,0.994271,2.022378,2.022378
picsum-40-p256-t1,256,1,717607,567252,0.7904772389344028,80.01566699931573,57.209958000385086,1.398631808098463,8.997313891020722,0,0,0.995162,0.995162,3.124308,3.124308
picsum-41-p256-t1,256,1,692646,614581,0.8872945198557416,85.08979200087197,65.34170899976743,1.3022278312490239,8.022483940042827,0,0,0.992399,0.992399,3.934723,3.934723
picsum-42-p256-t1,256,1,542866,575534,1.060176912903,76.76979200005007,66.54108300062944,1.1537202061968825,4.5227106227106235,0,0,0.990606,0.990606,3.64639,3.64639
picsum-43-p256-t1,256,1,526261,265616,0.5047229416582266,32.24916700128233,20.990790999348974,1.5363483444850903,7.7203907203907205,0,0,0.996067,0.996067,0.393981,0.393981
picsum-44-p256-t1,256,1,487928,424317,0.8696303552983227,39.01820799910638,29.280124999786494,1.3325833820515074,5.349293205654354,0,0,0.99765,0.99765,1.469306,1.469306
picsum-45-p256-t1,256,1,615010,577192,0.938508316937936,85.14412499971513,70.87116699949547,1.2013930150228973,6.013552068473609,0,0,0.991777,0.991777,3.292791,3.292791
picsum-46-p256-t1,256,1,617481,576858,0.9342117409280609,73.03858299928834,60.85441699906369,1.2002182684686984,5.46699732926364,0,0,0.993459,0.993459,3.528484,3.528484
picsum-47-p256-t1,256,1,387414,216043,0.5576540858100121,27.329374999681022,20.919665999826975,1.3063963353863806,5.101198402130493,0,0,0.993625,0.993625,0.342332,0.342332
picsum-48-p256-t1,256,1,346079,460829,1.3315716931683228,56.09829099921626,50.695583999186056,1.106571550692008,2.577970297029703,0,0,0.992169,0.992169,2.306196,2.306196
picsum-49-p256-t1,256,1,495183,486917,0.9833071813854676,64.37758299944107,51.896332999604056,1.2405035053234348,5.804421768707483,0,0,0.994645,0.994645,3.053831,3.053831
picsum-50-p256-t1,256,1,870901,611471,0.702113098963028,79.18179199987208,58.470959000260336,1.3542071714527468,8.316318926974665,0,0,0.996182,0.996182,2.583412,2.583412
picsum-51-p256-t1,256,1,498596,302157,0.6060156920633137,29.08166599991091,22.036082998965867,1.3197293730140556,4.460738429537182,0,0,0.997261,0.997261,0.317074,0.317074
picsum-52-p256-t1,256,1,548606,546879,0.9968520213049074,59.717707999880076,52.25554199932958,1.1428014276580698,4.078491727587533,0,0,0.992793,0.992793,2.489632,2.489632
picsum-53-p256-t1,256,1,475809,578831,1.2165196538947352,50.87929100045585,44.64854199977708,1.1395510070790191,2.963393171418514,0,0,0.993343,0.993343,1.385419,1.385419
picsum-54-p256-t1,256,1,635851,541969,0.8523522020095903,74.33929100079695,59.48858300143911,1.2496396325156809,6.55589704187476,0,0,0.993525,0.993525,2.900505,2.900505
picsum-55-p256-t1,256,1,780671,620263,0.794525478722791,97.43999999955122,82.47845799996867,1.1813993903667335,7.186080057699243,0,0,0.99269,0.99269,3.483112,3.483112
picsum-56-p256-t1,256,1,343799,501482,1.458648803516008,83.22570800009998,80.00291600001219,1.040283431670007,2.516680227827502,0,0,0.982375,0.982375,3.151653,3.151653
picsum-57-p256-t1,256,1,865475,609024,0.7036875704093128,105.64112499923795,73.7606250004319,1.4322156977197438,12.198439241917503,0,0,0.994665,0.994665,4.362507,4.362507
picsum-58-p256-t1,256,1,607007,316686,0.5217172124868412,33.110416999988956,20.986416000596364,1.5777070748548998,7.348156182212581,0,0,0.997664,0.997664,0.367631,0.367631
picsum-59-p256-t1,256,1,683575,500695,0.7324653476209633,88.99370900144277,68.84479200016358,1.2926716228764452,9.232558139534882,0,0,0.994668,0.994668,2.761831,2.761831
picsum-60-p256-t1,256,1,401588,399483,0.9947583095112403,46.97850000047765,38.335667000865215,1.225451483586222,4.410321489001691,0,0,0.997245,0.997245,1.459619,1.459619
picsum-61-p256-t1,256,1,673368,355117,0.527374333202647,34.80504099934478,21.230416001344565,1.6393951487874994,8.544796883695048,0,0,0.997606,0.997606,0.343289,0.343289
picsum-62-p256-t1,256,1,594665,579483,0.9744696593880589,69.19583299895748,55.592416998479166,1.2446991286752376,6.061567877629063,0,0,0.988384,0.988384,3.066538,3.066538
picsum-63-p256-t1,256,1,231671,382946,1.6529733976199006,44.412999999622116,43.47004199917137,1.0216921345617453,1.8847248576850095,0,0,0.991928,0.991928,1.348661,1.348661
picsum-64-p256-t1,256,1,396827,393927,0.9926920295242008,67.03258400011691,59.033999999883235,1.1354911407028068,4.740900383141763,0,0,0.992954,0.992954,2.809988,2.809988
picsum-65-p256-t1,256,1,462045,472292,1.0221774935341796,76.7537909996463,67.76691600134654,1.1326144899101087,4.836448598130841,0,0,0.98913,0.98913,2.898525,2.898525
picsum-66-p256-t1,256,1,594566,478949,0.8055438757009314,65.72070799848007,50.55874999925436,1.2998879125660605,7.533419023136247,0,0,0.995121,0.995121,2.134248,2.134248
picsum-67-p256-t1,256,1,676671,336258,0.4969298226168995,36.607208001441904,22.66708299976017,1.6149942187898298,8.447737068965516,0,0,0.997402,0.997402,0.328376,0.328376
picsum-68-p256-t1,256,1,579049,492941,0.8512941046439939,43.2587909999711,31.668833000367158,1.3659736372183202,4.940975776185602,0,0,0.997577,0.997577,0.907203,0.907203
