revision,platform,input,colors,config,label,family,quantize_option,encoded_bytes,bytes_vs_compat,command
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,16,center-swap,swap,center,center:algo=swap:seed=1,57100,0.9916465500772824,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=center:algo=swap:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 16 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,16,center-hybrid,hybrid,center,center:algo=hybrid:seed=1,58257,1.0117399836751706,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=center:algo=hybrid:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 16 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,32,heckbert-compat,compat,heckbert,heckbert:profile=compat,91291,1.0,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=heckbert:profile=compat -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 32 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,32,heckbert-speed,speed,heckbert,heckbert:profile=speed,91291,1.0,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=heckbert:profile=speed -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 32 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,32,heckbert-quality,quality,heckbert,heckbert:profile=quality,114087,1.2497069809729326,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=heckbert:profile=quality -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 32 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,32,kmeans,k-means,kmeans,kmeans:seed=1,94770,1.0381089044922283,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 32 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,32,medoids-pam,PAM,medoids,medoids:algo=pam:seed=1,108203,1.185253749000449,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=medoids:algo=pam:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 32 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,32,medoids-sample,CLARA,medoids,medoids:algo=sample:seed=1,108925,1.1931625242356858,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=medoids:algo=sample:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 32 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,32,medoids-random,CLARANS,medoids,medoids:algo=random:seed=1,108925,1.1931625242356858,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=medoids:algo=random:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 32 {input}
f2c138d8f6aa0a90c89d019f85eaf9bb3efa5edb,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,32,medoids-bandit,BanditPAM,medoids,medoids:algo=bandit:seed=1,108925,1.1931625242356858,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=medoids:algo=bandit:seed=1 -Xoklab -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none -p 32 {input}
