fixture,mode,threads,iteration,position,encode_ms,decode_ms
snake-fhd,256-none,4,3,2,54.080625,6.605542
snake-fhd,256-fs,4,4,0,107.10475,13.349292
snake-fhd,high,4,4,1,59.566833,16.460958
snake-fhd,256-none,4,4,2,55.945375,6.456458
snake-fhd,256-fs,4,5,0,107.269584,13.065541
snake-fhd,256-none,4,5,1,56.495459,6.51575
snake-fhd,high,4,5,2,58.741625,16.621917
snake-fhd,256-none,4,6,0,54.30175,6.52075
snake-fhd,256-fs,4,6,1,107.739417,13.315291
snake-fhd,high,4,6,2,59.53025,16.536625
snake-fhd,256-none,4,7,0,56.661166,6.474417
snake-fhd,high,4,7,1,58.859875,16.429458
snake-fhd,256-fs,4,7,2,108.763167,13.277833
snake-fhd,high,4,8,0,58.562833,16.358166
snake-fhd,256-none,4,8,1,56.028958,6.567334
snake-fhd,256-fs,4,8,2,105.804958,13.1415
snake-fhd,high,4,9,0,58.974709,16.773708
snake-fhd,256-fs,4,9,1,108.181792,13.263459
snake-fhd,256-none,4,9,2,55.92575,6.596417
snake-fhd,256-fs,4,10,0,109.01925,13.211792
snake-fhd,high,4,10,1,59.395917,16.572375
snake-fhd,256-none,4,10,2,54.461208,6.591125
snake-fhd,256-fs,8,-2,0,62.319542,8.772333
snake-fhd,high,8,-2,1,58.858542,16.769708
snake,256-none,8,-2,2,11.164041,1.536291
snake,256-fs,8,-2,3,15.079208,1.963542
snake,high,8,-2,4,14.796208,4.503542
autumn,256-none,8,-2,5,8.8495,1.70775
autumn,256-fs,8,-2,6,9.446375,1.8325
autumn,high,8,-2,7,15.549709,4.096125
gradient,256-none,8,-2,8,4.841792,0.491791
gradient,256-fs,8,-2,9,10.921292,1.177916
gradient,high,8,-2,10,2.9645,1.122167
gray,256-none,8,-2,11,0.857167,0.296083
gray,256-fs,8,-2,12,0.952375,0.256083
gray,high,8,-2,13,0.297125,0.260417
revisit,256-none,8,-2,14,7.171334,0.426166
revisit,256-fs,8,-2,15,7.930084,0.81425
revisit,high,8,-2,16,9.632416,3.463375
snake-fhd,256-none,8,-2,17,35.362416,4.331583
snake-fhd,256-fs,8,-1,0,62.181042,8.718875
snake-fhd,256-none,8,-1,1,34.393584,4.4595
revisit,high,8,-1,2,9.59225,3.311792
revisit,256-fs,8,-1,3,7.986834,0.813708
revisit,256-none,8,-1,4,7.259792,0.396208
gray,high,8,-1,5,0.370208,0.3175
gray,256-fs,8,-1,6,0.874166,0.257875
gray,256-none,8,-1,7,0.78975,0.263584
gradient,high,8,-1,8,2.82575,1.073417
gradient,256-fs,8,-1,9,10.646833,1.354542
gradient,256-none,8,-1,10,4.80525,0.380667
autumn,high,8,-1,11,16.134417,3.988125
autumn,256-fs,8,-1,12,9.951583,1.998125
autumn,256-none,8,-1,13,8.563084,1.794042
snake,high,8,-1,14,15.085166,4.32825
snake,256-fs,8,-1,15,15.346917,1.828708
snake,256-none,8,-1,16,11.230458,1.533334
snake-fhd,high,8,-1,17,58.210333,16.932917
snake,256-none,8,0,0,10.758,1.441875
snake,256-fs,8,0,1,15.384291,1.809291
snake,high,8,0,2,14.850917,4.482417
autumn,256-none,8,0,3,8.421625,1.693333
autumn,256-fs,8,0,4,9.447792,1.873
autumn,high,8,0,5,15.70825,4.060833
gradient,256-none,8,0,6,4.74525,0.524916
gradient,256-fs,8,0,7,10.703792,1.337125
gradient,high,8,0,8,2.655958,1.119458
gray,256-none,8,0,9,7.425,0.330625
gray,256-fs,8,0,10,0.936834,0.2655
gray,high,8,0,11,0.406958,0.274083
revisit,256-none,8,0,12,7.541792,0.480583
revisit,256-fs,8,0,13,8.0485,0.823417
revisit,high,8,0,14,9.707583,3.421833
snake-fhd,256-none,8,0,15,38.694833,5.073208
snake-fhd,256-fs,8,0,16,61.831542,10.0825
snake-fhd,high,8,0,17,59.891333,16.981
snake,256-none,8,1,0,11.372292,1.684333
snake-fhd,high,8,1,1,58.3065,17.231292
snake-fhd,256-fs,8,1,2,61.701333,9.718833
